"id_usuario";"id_departamento";"antiguedad";"cat_GrupoProfesional";"grupo_Cotizacion";"email"
1;1;"27/03/2013";"A1";5;"salabaus@empresa3.com"
2;1;"27/12/2020";"B1";4;"ldel_torog@empresa3.com"
3;1;"5/10/2014";"B1";4;"jiscariotei@empresa3.com"
4;1;"2/06/2016";"A3";5;"tmartinezi@empresa3.com"
5;1;"27/12/2022";"B2";6;"lmollg@empresa3.com"
6;1;"16/03/2020";"A2";4;"epellicerj@empresa3.com"
7;1;"7/10/2013";"B1";4;"pramirest@empresa3.com"
8;1;"18/06/2022";"A1";4;"lvilan@empresa3.com"
9;2;"16/10/2019";"B3";4;"jaguilara@empresa3.com"
10;2;"1/03/2023";"B3";3;"fanac@empresa3.com"
11;2;"18/10/2013";"B1";6;"rgallegoc@empresa3.com"
12;2;"13/04/2019";"A2";7;"psanchoc@empresa3.com"
13;3;"22/06/2015";"B1";5;"abasen@empresa3.com"
14;3;"26/03/2023";"A2";6;"mcidc@empresa3.com"
15;3;"28/03/2014";"A2";6;"fcoelloa@empresa3.com"
16;3;"11/10/2014";"B3";6;"iruizm@empresa3.com"
17;3;"4/11/2022";"B1";1;"asacar@empresa3.com"
18;3;"11/12/2019";"B1";6;"pvalenciar@empresa3.com"
19;3;"16/09/2022";"A1";5;"szambujoc@empresa3.com"
20;4;"2/02/2018";"A1";7;"jariasp@empresa3.com"
21;4;"28/11/2022";"A1";3;"cbenitob@empresa3.com"
22;4;"6/02/2012";"A3";6;"jcalasanzm@empresa3.com"
23;4;"4/12/2022";"A1";2;"mcarp@empresa3.com"
24;4;"4/10/2015";"A3";6;"pgomisz@empresa3.com"
25;4;"14/03/2014";"B1";5;"pmesis@empresa3.com"
26;4;"26/11/2017";"A2";6;"lnavarror@empresa3.com"
27;4;"4/03/2023";"B3";2;"atribul@empresa3.com"
28;4;"28/07/2013";"A2";7;"mvargasc@empresa3.com"
29;4;"14/12/2022";"B2";7;"pvargasv@empresa3.com"
